onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.383	4.5	LargeProblem	3144	1	9	4	14
12.383	4.5	LargeProblem	0	0	9	5	16
17.883	4.5	LargeProblem	3340	1	5	6	13
24.383	4.5	LargeProblem	5104	1	8	3	13
30.383	4.5	LargeProblem	4128	1	7	4	11
36.883	4.5	LargeProblem	4748	1	5	8	13
54.383	4.5	Plus1	2856	1	8	1	11
60.383	4.5	Plus1	6456	1	3	1	4
66.883	4.5	Plus1	0	0	9	1	12
72.383	4.5	Plus1	16	1	5	1	8
78.883	4.5	Plus1	5236	1	2	1	3
84.883	4.5	Plus1	5172	1	6	1	7
102.383	4.5	Plus1	5248	0	4	1	5
108.883	4.5	Plus1	5324	1	4	1	6
114.883	4.5	Plus1	0	0	7	1	9
120.383	4.5	Plus1	5072	1	7	1	8
126.383	4.5	Plus1	5424	1	8	1	9
132.883	4.5	Plus1	5372	1	3	1	5
144.383	4.5	LargeProblem	0	0	7	5	12
150.383	4.5	LargeProblem	424	0	8	6	14
155.883	4.5	LargeProblem	5548	1	4	8	12
162.383	4.5	LargeProblem	0	0	3	9	13
167.883	4.5	LargeProblem	5299	1	2	9	11
173.883	4.5	LargeProblem	0	0	6	7	14
186.383	4.5	SmallProblem	5455	1	2	3	5
191.883	4.5	SmallProblem	0	0	4	2	8
197.883	4.5	SmallProblem	5875	1	8	2	11
204.383	4.5	SmallProblem	0	0	7	3	12
210.383	4.5	SmallProblem	5183	1	4	5	10
215.883	4.5	SmallProblem	5619	1	3	4	9
234.383	4.5	SmallProblem	287	0	6	2	8
239.883	4.5	SmallProblem	5155	1	2	7	9
246.383	4.5	SmallProblem	5799	1	3	6	9
252.383	4.5	SmallProblem	0	0	2	5	8
257.883	4.5	SmallProblem	187	0	6	4	10
263.883	4.5	SmallProblem	5107	1	5	3	8
