onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.483	4.5	Plus1	2533	1	6	1	7
12.983	4.5	Plus1	5401	1	8	1	11
18.483	4.5	Plus1	5325	1	6	1	8
24.483	4.5	Plus1	0	0	2	1	4
29.983	4.5	Plus1	361	1	4	1	7
35.983	4.5	Plus1	5457	1	9	1	12
48.483	4.5	SmallProblem	5325	1	2	6	9
54.483	4.5	SmallProblem	0	0	6	3	11
59.983	4.5	SmallProblem	281	1	3	2	7
66.483	4.5	SmallProblem	5221	1	5	4	9
71.983	4.5	SmallProblem	3112	1	7	2	10
78.483	4.5	SmallProblem	141	1	3	5	10
96.483	4.5	LargeProblem	0	0	5	7	14
102.983	4.5	LargeProblem	0	0	3	8	11
108.483	4.5	LargeProblem	0	0	9	2	13
114.483	4.5	LargeProblem	0	0	4	9	13
120.983	4.5	LargeProblem	144	0	5	9	14
126.483	4.5	LargeProblem	5228	0	6	5	11
138.483	4.5	SmallProblem	5540	1	4	3	7
144.983	4.5	SmallProblem	5648	1	4	6	11
150.983	4.5	SmallProblem	5080	1	3	7	10
156.483	4.5	SmallProblem	5500	0	2	8	10
162.983	4.5	SmallProblem	5736	1	5	2	7
168.983	4.5	SmallProblem	0	0	2	4	6
180.483	4.5	Plus1	5524	1	7	1	8
186.983	4.5	Plus1	5472	1	5	1	6
192.983	4.5	Plus1	5448	1	5	1	7
198.483	4.5	Plus1	5164	1	9	1	10
204.983	4.5	Plus1	5136	1	2	1	3
210.483	4.5	Plus1	0	0	3	1	4
228.483	4.5	LargeProblem	6276	1	8	4	13
234.983	4.5	LargeProblem	0	0	7	6	13
240.983	4.5	LargeProblem	0	0	4	7	12
246.483	4.5	LargeProblem	0	0	6	8	15
252.483	4.5	LargeProblem	380	0	9	3	12
257.983	4.5	LargeProblem	5064	1	8	5	15
