onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.467	4.5	SmallProblem	0	0	4	2	8
12.983	4.5	SmallProblem	1347	1	7	3	12
18.983	4.5	SmallProblem	1691	1	3	4	9
24.484	4.5	SmallProblem	1406	1	2	7	9
30.984	4.5	SmallProblem	1426	1	6	4	10
36.484	4.5	SmallProblem	2654	1	2	5	8
48.484	4.5	Plus1	1494	1	8	1	11
53.984	4.5	Plus1	1226	0	3	1	4
59.984	4.5	Plus1	1290	1	7	1	9
66.484	4.5	Plus1	1638	1	5	1	8
72.484	4.5	Plus1	1790	1	7	1	8
78.984	4.5	Plus1	1914	1	4	1	5
96.484	4.5	SmallProblem	1934	1	4	5	10
102.984	4.5	SmallProblem	1554	1	8	2	11
108.484	4.5	SmallProblem	2662	1	2	3	5
114.484	4.5	SmallProblem	1702	1	3	6	9
120.984	4.5	SmallProblem	1842	1	6	2	8
126.484	4.5	SmallProblem	1374	1	5	3	8
144.484	4.5	Plus1	1702	1	8	1	9
150.984	4.5	Plus1	1114	1	9	1	12
156.984	4.5	Plus1	1458	1	2	1	3
162.484	4.5	Plus1	1398	1	4	1	6
168.984	4.5	Plus1	2338	1	6	1	7
174.984	4.5	Plus1	1226	1	3	1	5
186.484	4.5	LargeProblem	1934	1	6	7	14
192.984	4.5	LargeProblem	1442	1	9	5	16
198.484	4.5	LargeProblem	1694	1	2	9	11
204.484	4.5	LargeProblem	1598	1	4	8	12
209.984	4.5	LargeProblem	1850	1	8	6	14
215.984	4.5	LargeProblem	3042	0	5	6	13
228.484	4.5	LargeProblem	1790	1	9	4	14
233.984	4.5	LargeProblem	2338	1	3	9	13
240.484	4.5	LargeProblem	2487	1	8	3	13
246.484	4.5	LargeProblem	2078	1	7	5	12
251.984	4.5	LargeProblem	1826	1	5	8	13
258.484	4.5	LargeProblem	3158	1	7	4	11
