onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.484	4.5	LargeProblem	4819	1	7	6	13
12.984	4.5	LargeProblem	0	0	4	7	12
18.984	4.5	LargeProblem	119	1	3	8	11
24.484	4.5	LargeProblem	5931	1	6	5	11
30.984	4.5	LargeProblem	0	0	5	9	14
36.484	4.5	LargeProblem	443	0	8	4	13
54.484	4.5	SmallProblem	0	0	2	4	6
59.984	4.5	SmallProblem	5687	1	7	2	10
65.984	4.5	SmallProblem	4647	1	2	6	9
72.484	4.5	SmallProblem	2891	1	2	8	10
77.984	4.5	SmallProblem	5311	1	4	3	7
83.984	4.5	SmallProblem	4951	1	3	5	10
96.484	4.5	LargeProblem	0	0	5	7	14
102.484	4.5	LargeProblem	0	0	8	5	15
108.984	4.5	LargeProblem	1383	0	4	9	13
114.484	4.5	LargeProblem	4099	1	9	2	13
120.484	4.5	LargeProblem	0	0	6	8	15
125.984	4.5	LargeProblem	0	0	9	3	12
138.484	4.5	Plus1	4219	1	8	1	11
143.984	4.5	Plus1	5359	1	5	1	7
150.484	4.5	Plus1	2963	1	6	1	7
156.484	4.5	Plus1	3219	1	2	1	4
161.984	4.5	Plus1	3439	1	3	1	4
168.484	4.5	Plus1	2547	1	2	1	3
180.484	4.5	Plus1	3219	1	7	1	8
186.984	4.5	Plus1	4343	1	5	1	6
192.484	4.5	Plus1	2251	1	9	1	10
198.484	4.5	Plus1	0	0	4	1	7
203.984	4.5	Plus1	0	0	9	1	12
209.984	4.5	Plus1	3311	1	6	1	8
228.484	4.5	SmallProblem	0	0	5	2	7
233.984	4.5	SmallProblem	23	1	4	6	11
240.484	4.5	SmallProblem	2403	1	3	2	7
246.484	4.5	SmallProblem	2659	1	5	4	9
252.984	4.5	SmallProblem	0	0	6	3	11
258.984	4.5	SmallProblem	175	1	3	7	10
