onset	duration	trial_type	response_time	correct	left_number	right_number	verification
8.2	4.5	SmallProblem	2653	1	7	3	12
11.984	4.5	SmallProblem	2030	1	4	2	8
17.984	4.5	SmallProblem	1821	1	2	5	8
24.484	4.5	SmallProblem	1305	1	6	2	8
29.984	4.5	SmallProblem	2469	1	3	4	9
35.984	4.5	SmallProblem	1757	1	2	3	5
48.484	4.5	SmallProblem	2145	1	4	5	10
54.484	4.5	SmallProblem	2242	1	8	2	11
60.984	4.5	SmallProblem	1485	1	5	3	8
66.484	4.5	SmallProblem	1753	1	3	6	9
72.484	4.5	SmallProblem	2129	1	6	4	10
78.984	4.5	SmallProblem	2205	1	2	7	9
96.484	4.5	LargeProblem	2881	1	9	4	14
102.984	4.5	LargeProblem	2933	1	9	5	16
108.984	4.5	LargeProblem	1885	1	2	9	11
114.484	4.5	LargeProblem	2538	1	8	3	13
120.984	4.5	LargeProblem	2925	1	6	7	14
126.484	4.5	LargeProblem	2401	1	7	5	12
144.484	4.5	Plus1	1921	1	5	1	8
149.984	4.5	Plus1	2021	1	8	1	9
155.984	4.5	Plus1	2085	1	9	1	12
162.484	4.5	Plus1	1697	1	3	1	5
167.984	4.5	Plus1	2038	1	3	1	4
174.484	4.5	Plus1	1697	1	4	1	5
186.484	4.5	LargeProblem	3793	1	3	9	13
191.984	4.5	LargeProblem	2661	1	5	6	13
197.984	4.5	LargeProblem	2973	1	8	6	14
204.484	4.5	LargeProblem	3913	1	5	8	13
210.484	4.5	LargeProblem	2833	1	7	4	11
215.984	4.5	LargeProblem	2038	1	4	8	12
228.484	4.5	Plus1	1873	1	7	1	8
234.484	4.5	Plus1	3041	1	4	1	6
240.984	4.5	Plus1	3637	1	8	1	11
246.484	4.5	Plus1	2009	1	6	1	7
252.984	4.5	Plus1	2349	1	7	1	9
258.484	4.5	Plus1	2657	1	2	1	3
