onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.483	4.5	LargeProblem	3422	0	5	9	14
12.984	4.5	LargeProblem	1609	1	9	2	13
18.984	4.5	LargeProblem	1417	1	9	3	12
24.484	4.5	LargeProblem	3629	1	5	7	14
30.484	4.5	LargeProblem	1357	1	7	6	13
36.984	4.5	LargeProblem	4513	1	4	7	12
54.484	4.5	Plus1	1989	1	6	1	7
60.984	4.5	Plus1	1105	1	7	1	8
66.984	4.5	Plus1	1361	1	9	1	10
72.484	4.5	Plus1	4453	1	2	1	4
78.984	4.5	Plus1	2169	1	9	1	12
84.984	4.5	Plus1	2193	1	4	1	7
96.484	4.5	Plus1	1269	1	3	1	4
102.984	4.5	Plus1	2041	1	6	1	8
108.484	4.5	Plus1	2069	1	8	1	11
114.484	4.5	Plus1	1669	1	5	1	6
120.984	4.5	Plus1	2017	1	5	1	7
126.484	4.5	Plus1	1293	1	2	1	3
144.484	4.5	SmallProblem	1853	1	3	5	10
150.984	4.5	SmallProblem	1697	1	4	3	7
156.984	4.5	SmallProblem	1401	1	2	8	10
162.484	4.5	SmallProblem	1317	1	2	4	6
168.984	4.5	SmallProblem	1249	1	5	4	9
174.984	4.5	SmallProblem	1097	1	3	7	10
192.484	4.5	SmallProblem	1621	1	5	2	7
198.984	4.5	SmallProblem	2009	1	6	3	11
204.984	4.5	SmallProblem	1777	1	3	2	7
210.484	4.5	SmallProblem	1501	1	4	6	11
216.984	4.5	SmallProblem	1417	1	7	2	10
222.984	4.5	SmallProblem	2209	1	2	6	9
234.484	4.5	LargeProblem	1429	1	6	5	11
240.984	4.5	LargeProblem	4993	1	3	8	11
246.984	4.5	LargeProblem	185	1	4	9	13
252.484	4.5	LargeProblem	3621	1	8	4	13
258.984	4.5	LargeProblem	1713	1	8	5	15
264.484	4.5	LargeProblem	3181	1	6	8	15
