onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.484	4.5	Plus1	1683	1	6	1	7
12.984	4.5	Plus1	2127	1	4	1	7
21.167	4.5	Plus1	1352	1	2	1	3
24.484	4.5	Plus1	1171	1	2	1	4
30.484	4.5	Plus1	1643	1	5	1	7
36.984	4.5	Plus1	2175	1	5	1	6
48.484	4.5	SmallProblem	4852	1	2	8	10
54.984	4.5	SmallProblem	2992	1	7	2	10
60.484	4.5	SmallProblem	3179	1	2	4	6
66.484	4.5	SmallProblem	3195	1	4	6	11
71.984	4.5	SmallProblem	1616	1	5	2	7
78.484	4.5	SmallProblem	2819	1	3	5	10
90.484	4.5	LargeProblem	4132	1	5	7	14
96.984	4.5	LargeProblem	4016	1	6	8	15
102.984	4.5	LargeProblem	3864	1	4	7	12
108.484	4.5	LargeProblem	4156	1	9	2	13
114.484	4.5	LargeProblem	4724	1	6	5	11
120.984	4.5	LargeProblem	2880	1	9	3	12
138.484	4.5	Plus1	2116	1	7	1	8
144.984	4.5	Plus1	1512	1	3	1	4
150.984	4.5	Plus1	1592	1	9	1	10
156.484	4.5	Plus1	1892	1	6	1	8
162.484	4.5	Plus1	1764	1	9	1	12
168.984	4.5	Plus1	2528	0	8	1	11
186.484	4.5	LargeProblem	5244	1	8	4	13
192.484	4.5	LargeProblem	3588	1	7	6	13
198.984	4.5	LargeProblem	3840	1	3	8	11
204.484	4.5	LargeProblem	3924	1	4	9	13
210.484	4.5	LargeProblem	2124	1	5	9	14
216.984	4.5	LargeProblem	4608	1	8	5	15
228.484	4.5	SmallProblem	3668	1	2	6	9
234.484	4.5	SmallProblem	2348	1	4	3	7
239.984	4.5	SmallProblem	1776	1	3	2	7
246.484	4.5	SmallProblem	2516	1	3	7	10
252.484	4.5	SmallProblem	2268	1	5	4	9
257.984	4.5	SmallProblem	4520	1	6	3	11
