onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.483	4.5	Plus1	1900	1	5	1	6
12.983	4.5	Plus1	2592	1	9	1	12
18.983	4.5	Plus1	2600	1	8	1	11
24.483	4.5	Plus1	2380	1	3	1	4
30.983	4.5	Plus1	1752	1	7	1	8
36.483	4.5	Plus1	1604	1	6	1	7
48.483	4.5	LargeProblem	3236	1	9	2	13
54.983	4.5	LargeProblem	3720	1	8	5	15
60.983	4.5	LargeProblem	3832	1	8	4	13
66.483	4.5	LargeProblem	4988	1	6	8	15
72.983	4.5	LargeProblem	0	0	4	9	13
78.483	4.5	LargeProblem	4516	1	4	7	12
90.483	4.5	SmallProblem	4476	0	5	4	9
96.983	4.5	SmallProblem	3040	1	2	4	6
102.983	4.5	SmallProblem	4496	1	4	6	11
108.483	4.5	SmallProblem	3196	1	4	3	7
114.983	4.5	SmallProblem	3336	1	2	6	9
120.983	4.5	SmallProblem	3056	1	7	2	10
138.483	4.5	LargeProblem	4820	1	7	6	13
144.483	4.5	LargeProblem	2852	1	3	8	11
150.983	4.5	LargeProblem	3760	1	9	3	12
156.483	4.5	LargeProblem	5700	1	5	7	14
162.483	4.5	LargeProblem	4828	1	5	9	14
167.983	4.5	LargeProblem	4576	0	6	5	11
186.483	4.5	SmallProblem	2780	1	2	8	10
192.483	4.5	SmallProblem	3324	1	6	3	11
197.983	4.5	SmallProblem	3024	1	3	2	7
204.483	4.5	SmallProblem	3428	1	3	5	10
210.483	4.5	SmallProblem	2724	1	3	7	10
216.984	4.5	SmallProblem	2407	1	5	2	7
228.484	4.5	Plus1	3811	1	6	1	8
234.484	4.5	Plus1	1627	1	9	1	10
240.984	4.5	Plus1	1975	1	4	1	7
246.484	4.5	Plus1	2283	1	2	1	4
252.984	4.5	Plus1	1799	1	2	1	3
258.484	4.5	Plus1	2515	1	5	1	7
