onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.466	4.5	SmallProblem	3199	1	3	7	10
11.983	4.5	SmallProblem	1322	1	5	4	9
17.983	4.5	SmallProblem	2250	1	6	3	11
24.483	4.5	SmallProblem	2790	1	4	3	7
29.983	4.5	SmallProblem	2650	0	2	4	6
36.483	4.5	SmallProblem	2814	1	3	2	7
48.483	4.5	Plus1	3078	1	7	1	8
53.983	4.5	Plus1	2786	1	5	1	7
59.983	4.5	Plus1	2362	1	8	1	11
66.483	4.5	Plus1	4238	0	2	1	4
72.466	4.5	Plus1	2151	1	3	1	4
77.983	4.5	Plus1	2610	1	9	1	10
90.483	4.5	Plus1	2894	1	4	1	7
96.483	4.5	Plus1	2950	1	2	1	3
102.983	4.5	Plus1	4514	1	5	1	6
108.467	4.5	Plus1	2046	1	9	1	12
114.983	4.5	Plus1	2138	1	6	1	7
120.983	4.5	Plus1	1682	1	6	1	8
138.483	4.5	SmallProblem	3054	1	7	2	10
144.483	4.5	SmallProblem	0	0	4	6	11
149.983	4.5	SmallProblem	66	0	3	5	10
156.483	4.5	SmallProblem	3366	0	2	6	9
161.983	4.5	SmallProblem	4010	0	5	2	7
167.983	4.5	SmallProblem	2562	1	2	8	10
186.483	4.5	LargeProblem	2182	1	6	5	11
191.983	4.5	LargeProblem	3666	1	9	3	12
197.983	4.5	LargeProblem	2378	0	8	4	13
204.483	4.5	LargeProblem	5526	1	4	9	13
210.467	4.5	LargeProblem	4382	1	4	7	12
216.967	4.5	LargeProblem	2618	1	7	6	13
234.483	4.5	LargeProblem	4966	0	8	5	15
240.967	4.5	LargeProblem	2354	1	5	9	14
246.483	4.5	LargeProblem	3726	0	6	8	15
252.483	4.5	LargeProblem	4950	1	3	8	11
257.967	4.5	LargeProblem	3066	1	9	2	13
264.483	4.5	LargeProblem	3742	0	5	7	14
