onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.484	4.5	SmallProblem	2948	1	3	5	10
11.984	4.5	SmallProblem	2568	1	7	2	10
18.784	4.5	SmallProblem	3520	1	3	7	10
24.484	4.5	SmallProblem	2292	1	2	8	10
30.984	4.5	SmallProblem	2184	1	5	2	7
36.484	4.5	SmallProblem	3340	1	2	6	9
54.484	4.5	Plus1	2204	0	5	1	7
59.984	4.5	Plus1	1544	1	6	1	7
65.984	4.5	Plus1	2136	0	4	1	7
72.484	4.5	Plus1	3388	1	3	1	4
77.984	4.5	Plus1	3072	1	8	1	11
83.984	4.5	Plus1	2056	1	2	1	4
96.484	4.5	Plus1	2044	0	5	1	6
102.484	4.5	Plus1	2564	1	2	1	3
108.984	4.5	Plus1	2080	1	9	1	12
114.484	4.5	Plus1	2300	1	7	1	8
120.484	4.5	Plus1	3084	1	6	1	8
125.984	4.5	Plus1	2624	1	9	1	10
144.484	4.5	LargeProblem	2956	0	5	7	14
149.984	4.5	LargeProblem	2360	1	9	2	13
155.984	4.5	LargeProblem	0	0	4	9	13
162.484	4.5	LargeProblem	2108	1	7	6	13
168.484	4.5	LargeProblem	4508	1	6	8	15
173.984	4.5	LargeProblem	4200	1	8	4	13
186.484	4.5	LargeProblem	4068	0	9	3	12
191.984	4.5	LargeProblem	336	1	3	8	11
198.484	4.5	LargeProblem	4132	0	5	9	14
204.484	4.5	LargeProblem	5020	1	4	7	12
210.984	4.5	LargeProblem	0	0	8	5	15
216.984	4.5	LargeProblem	2008	0	6	5	11
234.484	4.5	SmallProblem	3124	0	5	4	9
240.984	4.5	SmallProblem	3272	0	2	4	6
246.484	4.5	SmallProblem	2548	1	4	6	11
252.484	4.5	SmallProblem	4172	1	4	3	7
258.984	4.5	SmallProblem	0	0	6	3	11
264.484	4.5	SmallProblem	1588	1	3	2	7
