onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.483	4.5	Plus1	3695	1	9	1	12
12.483	4.5	Plus1	3343	1	5	1	8
17.983	4.5	Plus1	3419	1	7	1	9
24.483	4.5	Plus1	2063	1	3	1	5
30.483	4.5	Plus1	2823	1	8	1	11
35.983	4.5	Plus1	1979	1	3	1	4
54.483	4.5	LargeProblem	3399	1	9	4	14
60.483	4.5	LargeProblem	3175	1	9	5	16
65.983	4.5	LargeProblem	5306	1	3	9	13
72.483	4.5	LargeProblem	3550	1	5	8	13
78.483	4.5	LargeProblem	2622	1	8	3	13
84.983	4.5	LargeProblem	3666	1	6	7	14
102.483	4.5	Plus1	3214	1	4	1	5
108.483	4.5	Plus1	2199	1	6	1	7
114.983	4.5	Plus1	1770	1	7	1	8
120.483	4.5	Plus1	2294	0	2	1	3
126.983	4.5	Plus1	2730	1	8	1	9
132.483	4.5	Plus1	2190	1	4	1	6
144.483	4.5	SmallProblem	2318	1	4	2	8
150.983	4.5	SmallProblem	2114	1	3	6	9
156.983	4.5	SmallProblem	2274	1	4	5	10
162.483	4.5	SmallProblem	2030	1	5	3	8
168.483	4.5	SmallProblem	2430	1	8	2	11
174.983	4.5	SmallProblem	2074	1	2	7	9
186.483	4.5	LargeProblem	3550	1	7	5	12
192.483	4.5	LargeProblem	0	0	5	6	13
198.983	4.5	LargeProblem	2146	1	7	4	11
204.483	4.5	LargeProblem	2910	1	8	6	14
210.983	4.5	LargeProblem	2610	0	2	9	11
216.983	4.5	LargeProblem	2938	1	4	8	12
228.483	4.5	SmallProblem	3078	1	7	3	12
234.483	4.5	SmallProblem	2446	1	2	5	8
240.983	4.5	SmallProblem	2186	1	2	3	5
246.483	4.5	SmallProblem	2358	1	3	4	9
252.483	4.5	SmallProblem	3078	1	6	2	8
258.983	4.5	SmallProblem	2170	1	6	4	10
