onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.383	4.5	LargeProblem	3725	0	7	5	12
11.883	4.5	LargeProblem	0	0	9	4	14
17.883	4.5	LargeProblem	3073	0	3	9	13
24.383	4.5	LargeProblem	0	0	8	6	14
29.883	4.5	LargeProblem	0	0	7	4	11
35.883	4.5	LargeProblem	49	1	6	7	14
48.383	4.5	SmallProblem	5461	1	4	2	8
54.383	4.5	SmallProblem	5365	1	6	2	8
59.883	4.5	SmallProblem	2377	0	5	3	8
66.383	4.5	SmallProblem	3101	1	4	5	10
71.883	4.5	SmallProblem	2537	1	2	3	5
78.383	4.5	SmallProblem	3685	1	3	6	9
90.383	4.5	Plus1	4301	1	7	1	9
95.883	4.5	Plus1	2609	1	9	1	12
101.883	4.5	Plus1	3817	1	8	1	11
108.383	4.5	Plus1	3781	1	3	1	5
113.883	4.5	Plus1	2513	1	8	1	9
120.383	4.5	Plus1	3349	1	7	1	8
138.383	4.5	SmallProblem	5029	1	3	4	9
144.883	4.5	SmallProblem	4049	1	7	3	12
150.383	4.5	SmallProblem	5741	1	8	2	11
156.383	4.5	SmallProblem	4229	1	6	4	10
161.883	4.5	SmallProblem	4321	1	2	5	8
168.383	4.5	SmallProblem	4021	1	2	7	9
186.383	4.5	LargeProblem	0	0	5	8	13
191.883	4.5	LargeProblem	1617	1	8	3	13
197.883	4.5	LargeProblem	3753	1	2	9	11
204.383	4.5	LargeProblem	0	0	5	6	13
210.383	4.5	LargeProblem	4309	0	9	5	16
216.883	4.5	LargeProblem	0	0	4	8	12
234.383	4.5	Plus1	1877	1	4	1	5
240.883	4.5	Plus1	2921	1	3	1	4
246.383	4.5	Plus1	0	0	5	1	8
252.383	4.5	Plus1	5	0	6	1	7
257.883	4.5	Plus1	3201	1	4	1	6
264.383	4.5	Plus1	3701	1	2	1	3
