onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.466	4.5	SmallProblem	1675	1	2	3	5
12.466	4.5	SmallProblem	2155	1	4	5	10
17.966	4.5	SmallProblem	2847	1	8	2	11
24.466	4.5	SmallProblem	2683	1	2	7	9
30.466	4.5	SmallProblem	3139	1	6	2	8
35.966	4.5	SmallProblem	2799	1	3	4	9
54.466	4.5	SmallProblem	2571	1	3	6	9
60.466	4.5	SmallProblem	2595	1	6	4	10
65.966	4.5	SmallProblem	2527	1	4	2	8
72.466	4.5	SmallProblem	2163	1	7	3	12
77.966	4.5	SmallProblem	3815	0	2	5	8
83.966	4.5	SmallProblem	87	0	5	3	8
96.466	4.5	Plus1	2043	1	4	1	5
102.466	4.5	Plus1	1619	1	8	1	9
108.966	4.5	Plus1	1615	1	5	1	8
114.466	4.5	Plus1	2035	1	3	1	4
120.466	4.5	Plus1	1747	1	4	1	6
126.966	4.5	Plus1	2287	1	9	1	12
138.466	4.5	LargeProblem	3411	1	9	4	14
144.466	4.5	LargeProblem	3531	1	9	5	16
149.966	4.5	LargeProblem	2935	0	5	6	13
156.466	4.5	LargeProblem	243	0	8	6	14
162.466	4.5	LargeProblem	4731	1	8	3	13
168.966	4.5	LargeProblem	5199	0	3	9	13
180.467	4.5	LargeProblem	4874	0	4	8	12
186.967	4.5	LargeProblem	3254	1	2	9	11
192.467	4.5	LargeProblem	2586	0	5	8	13
198.467	4.5	LargeProblem	4626	1	7	4	11
204.967	4.5	LargeProblem	2102	1	7	5	12
210.467	4.5	LargeProblem	4418	0	6	7	14
228.467	4.5	Plus1	1802	1	8	1	11
234.967	4.5	Plus1	4462	1	3	1	5
240.467	4.5	Plus1	3322	1	7	1	8
246.467	4.5	Plus1	2458	1	2	1	3
251.967	4.5	Plus1	2062	1	6	1	7
257.967	4.5	Plus1	3198	1	7	1	9
