onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.467	4.5	LargeProblem	5040	1	4	7	12
12.967	4.5	LargeProblem	2892	1	8	4	13
19.284	4.5	LargeProblem	3015	1	8	5	15
24.484	4.5	LargeProblem	3479	1	5	7	14
30.984	4.5	LargeProblem	2803	1	6	5	11
36.984	4.5	LargeProblem	3427	1	3	8	11
54.484	4.5	Plus1	2423	1	5	1	7
60.484	4.5	Plus1	2991	1	3	1	4
65.984	4.5	Plus1	1291	0	5	1	6
72.484	4.5	Plus1	3407	1	4	1	7
77.984	4.5	Plus1	4179	1	2	1	3
83.984	4.5	Plus1	1827	1	9	1	10
96.484	4.5	Plus1	3247	1	7	1	8
102.484	4.5	Plus1	0	0	6	1	8
107.984	4.5	Plus1	3211	0	9	1	12
114.484	4.5	Plus1	0	0	6	1	7
119.984	4.5	Plus1	28	0	2	1	4
126.484	4.5	Plus1	2535	1	8	1	11
144.484	4.5	LargeProblem	2799	1	9	2	13
149.984	4.5	LargeProblem	3555	1	4	9	13
155.984	4.5	LargeProblem	2507	1	5	9	14
162.484	4.5	LargeProblem	0	0	9	3	12
167.984	4.5	LargeProblem	203	0	7	6	13
173.984	4.5	LargeProblem	4267	1	6	8	15
186.484	4.5	SmallProblem	3207	1	3	7	10
192.484	4.5	SmallProblem	5207	1	4	3	7
198.968	4.5	SmallProblem	3067	1	4	6	11
204.484	4.5	SmallProblem	2999	1	5	4	9
210.484	4.5	SmallProblem	2807	1	3	2	7
216.984	4.5	SmallProblem	0	0	6	3	11
234.484	4.5	SmallProblem	2375	1	5	2	7
240.984	4.5	SmallProblem	3699	1	2	8	10
246.984	4.5	SmallProblem	4155	1	3	5	10
252.484	4.5	SmallProblem	1871	1	2	4	6
258.984	4.5	SmallProblem	4043	1	7	2	10
264.984	4.5	SmallProblem	2772	0	2	6	9
