onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.467	4.5	SmallProblem	3878	1	2	7	9
11.984	4.5	SmallProblem	1889	1	2	3	5
18.484	4.5	SmallProblem	2077	1	6	2	8
24.484	4.5	SmallProblem	2341	1	4	2	8
30.967	4.5	SmallProblem	2274	1	8	2	11
36.484	4.5	SmallProblem	2829	1	2	5	8
48.484	4.5	LargeProblem	2293	1	2	9	11
54.984	4.5	LargeProblem	5065	0	6	7	14
60.967	4.5	LargeProblem	0	0	7	5	12
66.484	4.5	LargeProblem	165	0	8	3	13
72.984	4.5	LargeProblem	3809	1	7	4	11
78.984	4.5	LargeProblem	5017	1	9	5	16
90.484	4.5	LargeProblem	0	0	9	4	14
96.484	4.5	LargeProblem	1141	0	8	6	14
101.984	4.5	LargeProblem	521	1	3	9	13
108.484	4.5	LargeProblem	4077	1	4	8	12
113.984	4.5	LargeProblem	4673	1	5	8	13
119.967	4.5	LargeProblem	4778	1	5	6	13
138.484	4.5	Plus1	1965	1	7	1	8
143.984	4.5	Plus1	1537	1	8	1	9
150.484	4.5	Plus1	1789	1	7	1	9
156.484	4.5	Plus1	1917	1	2	1	3
161.984	4.5	Plus1	1961	1	4	1	6
168.484	4.5	Plus1	2885	1	8	1	11
180.484	4.5	SmallProblem	4573	1	3	4	9
186.967	4.5	SmallProblem	4226	1	4	5	10
192.984	4.5	SmallProblem	4185	1	3	6	9
198.484	4.5	SmallProblem	3749	1	5	3	8
204.484	4.5	SmallProblem	3469	1	6	4	10
210.984	4.5	SmallProblem	3153	1	7	3	12
228.484	4.5	Plus1	2421	1	5	1	8
234.984	4.5	Plus1	2417	1	6	1	7
240.984	4.5	Plus1	2273	1	4	1	5
246.484	4.5	Plus1	1413	1	3	1	4
252.484	4.5	Plus1	1709	1	9	1	12
257.984	4.5	Plus1	2849	0	3	1	5
