onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.466	4.5	LargeProblem	3040	0	9	4	14
11.983	4.5	LargeProblem	2939	0	6	7	14
17.983	4.5	LargeProblem	1963	1	7	4	11
24.483	4.5	LargeProblem	3831	0	9	5	16
30.483	4.5	LargeProblem	1791	1	2	9	11
36.983	4.5	LargeProblem	1595	1	5	6	13
54.483	4.5	LargeProblem	3943	1	7	5	12
60.983	4.5	LargeProblem	3507	0	3	9	13
66.983	4.5	LargeProblem	0	0	4	8	12
72.483	4.5	LargeProblem	4783	1	8	6	14
78.966	4.5	LargeProblem	2540	1	8	3	13
84.983	4.5	LargeProblem	4475	1	5	8	13
96.483	4.5	Plus1	1727	1	8	1	11
102.983	4.5	Plus1	1443	1	4	1	5
108.983	4.5	Plus1	1163	1	8	1	9
114.483	4.5	Plus1	1279	1	7	1	9
120.483	4.5	Plus1	1455	1	3	1	5
126.983	4.5	Plus1	1259	1	7	1	8
138.483	4.5	Plus1	1431	1	2	1	3
144.983	4.5	Plus1	1499	1	4	1	6
150.983	4.5	Plus1	1251	1	9	1	12
156.483	4.5	Plus1	1391	1	6	1	7
162.983	4.5	Plus1	1099	1	5	1	8
168.983	4.5	Plus1	1227	1	3	1	4
186.483	4.5	SmallProblem	3015	1	3	4	9
192.983	4.5	SmallProblem	1779	1	4	5	10
198.483	4.5	SmallProblem	2231	0	8	2	11
204.483	4.5	SmallProblem	4935	1	6	4	10
209.966	4.5	SmallProblem	1908	1	7	3	12
216.483	4.5	SmallProblem	1727	1	6	2	8
234.483	4.5	SmallProblem	1551	1	4	2	8
240.983	4.5	SmallProblem	2587	1	3	6	9
246.483	4.5	SmallProblem	2135	1	2	5	8
252.483	4.5	SmallProblem	2327	1	2	3	5
257.983	4.5	SmallProblem	3123	1	5	3	8
263.983	4.5	SmallProblem	2307	1	2	7	9
