onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.483	4.5	SmallProblem	1729	1	4	2	8
12.483	4.5	SmallProblem	1905	1	8	2	11
19.283	4.5	SmallProblem	1353	1	6	2	8
24.483	4.5	SmallProblem	1105	1	5	3	8
30.483	4.5	SmallProblem	1281	1	2	3	5
36.983	4.5	SmallProblem	1421	1	3	6	9
48.483	4.5	LargeProblem	1473	1	6	7	14
54.983	4.5	LargeProblem	1973	1	9	5	16
60.483	4.5	LargeProblem	1385	1	5	8	13
66.483	4.5	LargeProblem	1688	1	7	5	12
71.983	4.5	LargeProblem	1773	1	9	4	14
77.983	4.5	LargeProblem	1092	1	4	8	12
90.483	4.5	SmallProblem	1320	1	6	4	10
95.983	4.5	SmallProblem	1997	1	2	5	8
102.483	4.5	SmallProblem	1632	1	7	3	12
108.483	4.5	SmallProblem	2320	1	3	4	9
113.983	4.5	SmallProblem	1460	1	2	7	9
119.983	4.5	SmallProblem	1580	1	4	5	10
138.483	4.5	LargeProblem	1552	1	8	6	14
143.983	4.5	LargeProblem	1116	1	7	4	11
150.483	4.5	LargeProblem	1968	1	5	6	13
156.483	4.5	LargeProblem	2568	1	3	9	13
161.983	4.5	LargeProblem	2228	1	8	3	13
168.483	4.5	LargeProblem	1184	1	2	9	11
186.483	4.5	Plus1	1560	1	7	1	9
191.983	4.5	Plus1	1348	1	7	1	8
197.983	4.5	Plus1	1332	1	5	1	8
204.483	4.5	Plus1	1928	1	4	1	6
210.483	4.5	Plus1	1216	1	2	1	3
216.983	4.5	Plus1	1844	1	6	1	7
228.483	4.5	Plus1	1440	1	3	1	5
234.983	4.5	Plus1	1500	1	9	1	12
240.483	4.5	Plus1	1200	1	8	1	9
246.483	4.5	Plus1	1208	1	4	1	5
251.983	4.5	Plus1	2068	1	8	1	11
257.983	4.5	Plus1	1188	1	3	1	4
