onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.483	4.5	SmallProblem	2222	1	4	2	8
11.983	4.5	SmallProblem	2226	0	5	3	8
18.783	4.5	SmallProblem	3042	1	8	2	11
24.483	4.5	SmallProblem	3086	1	2	7	9
29.983	4.5	SmallProblem	2954	1	6	2	8
36.483	4.5	SmallProblem	3838	0	4	5	10
48.483	4.5	SmallProblem	3718	0	2	3	5
54.983	4.5	SmallProblem	1850	1	6	4	10
60.483	4.5	SmallProblem	3230	0	3	6	9
66.483	4.5	SmallProblem	2894	1	3	4	9
71.983	4.5	SmallProblem	1506	0	7	3	12
78.483	4.5	SmallProblem	4022	1	2	5	8
96.483	4.5	LargeProblem	3870	1	9	5	16
101.983	4.5	LargeProblem	1850	0	6	7	14
108.483	4.5	LargeProblem	1790	1	4	8	12
114.483	4.5	LargeProblem	3006	1	8	6	14
120.983	4.5	LargeProblem	1410	0	5	8	13
126.483	4.5	LargeProblem	3342	1	3	9	13
144.483	4.5	LargeProblem	4790	1	5	6	13
149.983	4.5	LargeProblem	2002	1	7	5	12
155.983	4.5	LargeProblem	2386	0	9	4	14
162.483	4.5	LargeProblem	2118	0	8	3	13
168.483	4.5	LargeProblem	2614	1	2	9	11
173.983	4.5	LargeProblem	3186	1	7	4	11
186.483	4.5	Plus1	2326	1	7	1	8
191.983	4.5	Plus1	1354	1	4	1	5
197.983	4.5	Plus1	2146	1	8	1	11
204.483	4.5	Plus1	1950	1	6	1	7
209.983	4.5	Plus1	2194	1	4	1	6
215.983	4.5	Plus1	1674	1	2	1	3
228.483	4.5	Plus1	1350	1	8	1	9
233.983	4.5	Plus1	2098	1	9	1	12
240.483	4.5	Plus1	1518	1	3	1	4
246.483	4.5	Plus1	1342	1	7	1	9
252.984	4.5	Plus1	1641	1	5	1	8
258.484	4.5	Plus1	1605	1	3	1	5
