onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.467	4.5	LargeProblem	2924	0	9	4	14
12.467	4.5	LargeProblem	3948	1	5	6	13
19.283	4.5	LargeProblem	2044	1	2	9	11
24.467	4.5	LargeProblem	2540	0	7	4	11
30.967	4.5	LargeProblem	2560	1	9	5	16
36.467	4.5	LargeProblem	4780	0	8	6	14
48.467	4.5	SmallProblem	2324	1	4	5	10
53.967	4.5	SmallProblem	1936	1	5	3	8
59.967	4.5	SmallProblem	2664	1	2	3	5
66.467	4.5	SmallProblem	2996	1	2	5	8
71.967	4.5	SmallProblem	3056	1	7	3	12
77.967	4.5	SmallProblem	1936	1	6	4	10
96.467	4.5	Plus1	2452	1	8	1	11
102.467	4.5	Plus1	2844	1	5	1	8
107.967	4.5	Plus1	2896	1	4	1	6
114.467	4.5	Plus1	1628	1	9	1	12
119.967	4.5	Plus1	1616	0	3	1	4
125.967	4.5	Plus1	2320	1	3	1	5
138.467	4.5	Plus1	1764	1	2	1	3
143.967	4.5	Plus1	3192	1	7	1	9
149.967	4.5	Plus1	2408	1	4	1	5
156.467	4.5	Plus1	1772	1	6	1	7
161.967	4.5	Plus1	2208	1	7	1	8
167.967	4.5	Plus1	1912	1	8	1	9
186.467	4.5	LargeProblem	2572	1	7	5	12
192.467	4.5	LargeProblem	3460	1	4	8	12
197.967	4.5	LargeProblem	2632	1	8	3	13
204.467	4.5	LargeProblem	4636	1	6	7	14
209.967	4.5	LargeProblem	1432	1	5	8	13
216.467	4.5	LargeProblem	2332	1	3	9	13
234.467	4.5	SmallProblem	2516	1	4	2	8
240.967	4.5	SmallProblem	3432	1	3	4	9
246.967	4.5	SmallProblem	2360	1	8	2	11
252.467	4.5	SmallProblem	2100	1	6	2	8
258.467	4.5	SmallProblem	2732	1	2	7	9
264.967	4.5	SmallProblem	1808	0	3	6	9
