onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.467	4.5	SmallProblem	1749	1	2	3	5
12.967	4.5	SmallProblem	2521	1	3	4	9
18.984	4.5	SmallProblem	1985	1	2	5	8
24.484	4.5	SmallProblem	1764	1	6	2	8
30.467	4.5	SmallProblem	1989	1	5	3	8
36.967	4.5	SmallProblem	1825	1	4	2	8
48.467	4.5	Plus1	1597	1	5	1	8
54.467	4.5	Plus1	1245	1	4	1	6
60.967	4.5	Plus1	1001	1	4	1	5
66.467	4.5	Plus1	1941	1	9	1	12
72.467	4.5	Plus1	1565	1	6	1	7
77.967	4.5	Plus1	2625	1	8	1	11
96.467	4.5	LargeProblem	1789	1	2	9	11
102.467	4.5	LargeProblem	4213	1	9	5	16
107.967	4.5	LargeProblem	2761	1	8	3	13
114.467	4.5	LargeProblem	3341	1	4	8	12
119.967	4.5	LargeProblem	0	0	5	6	13
126.467	4.5	LargeProblem	3821	0	5	8	13
138.484	4.5	SmallProblem	2220	1	4	5	10
143.967	4.5	SmallProblem	3081	1	2	7	9
150.467	4.5	SmallProblem	2845	1	7	3	12
156.467	4.5	SmallProblem	2013	1	8	2	11
162.967	4.5	SmallProblem	2785	1	6	4	10
168.967	4.5	SmallProblem	2865	1	3	6	9
186.467	4.5	LargeProblem	4421	1	7	4	11
192.967	4.5	LargeProblem	3313	1	3	9	13
198.967	4.5	LargeProblem	4585	1	7	5	12
204.467	4.5	LargeProblem	3957	1	9	4	14
210.967	4.5	LargeProblem	4497	1	8	6	14
216.467	4.5	LargeProblem	4773	1	6	7	14
234.467	4.5	Plus1	1285	1	7	1	8
240.967	4.5	Plus1	1241	1	2	1	3
246.467	4.5	Plus1	1677	1	3	1	4
252.468	4.5	Plus1	1772	1	8	1	9
258.968	4.5	Plus1	2104	1	3	1	5
264.968	4.5	Plus1	2160	1	7	1	9
