onset	duration	trial_type	response_time	correct	left_number	right_number	verification
6.667	4.5	Plus1	1792	1	6	1	7
12.984	4.5	Plus1	2131	1	2	1	3
19.367	4.5	Plus1	2164	1	4	1	6
24.484	4.5	Plus1	2511	1	5	1	8
30.484	4.5	Plus1	1431	1	3	1	4
36.984	4.5	Plus1	2819	1	3	1	5
54.484	4.5	LargeProblem	3599	0	7	4	11
60.484	4.5	LargeProblem	3639	1	8	3	13
65.984	4.5	LargeProblem	3827	1	4	8	12
72.484	4.5	LargeProblem	2863	1	7	5	12
78.484	4.5	LargeProblem	2351	1	2	9	11
83.984	4.5	LargeProblem	4323	1	5	8	13
102.484	4.5	LargeProblem	2423	0	6	7	14
108.484	4.5	LargeProblem	2735	0	5	6	13
114.984	4.5	LargeProblem	3979	1	9	4	14
120.484	4.5	LargeProblem	3447	1	3	9	13
126.484	4.5	LargeProblem	2583	1	8	6	14
132.984	4.5	LargeProblem	3075	0	9	5	16
144.484	4.5	Plus1	2423	1	4	1	5
150.484	4.5	Plus1	1687	1	8	1	9
155.984	4.5	Plus1	2947	1	7	1	9
162.484	4.5	Plus1	2487	1	8	1	11
168.484	4.5	Plus1	4063	1	9	1	12
174.984	4.5	Plus1	2003	1	7	1	8
186.484	4.5	SmallProblem	4479	1	6	4	10
192.484	4.5	SmallProblem	3775	1	3	6	9
197.984	4.5	SmallProblem	2923	1	2	7	9
204.484	4.5	SmallProblem	2815	1	6	2	8
210.484	4.5	SmallProblem	3143	1	4	5	10
215.984	4.5	SmallProblem	3315	0	3	4	9
228.484	4.5	SmallProblem	4527	1	7	3	12
234.484	4.5	SmallProblem	5095	1	2	3	5
239.984	4.5	SmallProblem	2955	1	8	2	11
246.484	4.5	SmallProblem	2639	1	4	2	8
251.984	4.5	SmallProblem	2931	1	5	3	8
257.984	4.5	SmallProblem	2603	1	2	5	8
